,location,latitude,longitude
0,orlando,28.5421097,-81.3790388
1,"Dallas, TX",32.7762719,-96.7968559
2,,34.220389,70.3800314
3,,34.220389,70.3800314
4,The world,25.2529955,55.1771471150149
5,"Tujunga, Los Angeles",34.252225,-118.2884105
6,"London, England",51.5073219,-0.1276474
7,"Las Vegas, NV",36.1662859,-115.149225
8,,34.220389,70.3800314
9,"Atwater, CA",45.4896934,-73.5863732
10,Medellín,6.2443382,-75.573553
11,"Florida, USA",27.7567667,-81.4639835
12,"Atwater, CA",45.4896934,-73.5863732
13,"Guilderland, NY",42.704522,-73.911513
14,"Atwater, CA",45.4896934,-73.5863732
15,"Atwater, CA",45.4896934,-73.5863732
16,"Distrito Federal, México",19.32055625,-99.1517010707765
17,California,36.7014631,-118.7559974
18,"Atwater, CA",45.4896934,-73.5863732
19,"Atwater, CA",45.4896934,-73.5863732
20,"Atwater, CA",45.4896934,-73.5863732
21,,34.220389,70.3800314
22,"North Bergen, NJ",40.8042674,-74.012084
23,"Atwater, CA",45.4896934,-73.5863732
24,"Atwater, CA",45.4896934,-73.5863732
25,,34.220389,70.3800314
26,,34.220389,70.3800314
27,"Phoenix, AZ",33.4485866,-112.0773456
28,"Nairobi, Kenya",-1.2832533,36.8172449
29,"England, United Kingdom",52.7954791,-0.540240286617432
30,,34.220389,70.3800314
31,"England, United Kingdom",52.7954791,-0.540240286617432
32,,34.220389,70.3800314
33,Canada,61.0666922,-107.9917071
34,"London, United Kingdom",51.5073219,-0.1276474
35,"England, United Kingdom",52.7954791,-0.540240286617432
36,"Pitimbu, Natal",-5.8633093,-35.2324324
37,"England, United Kingdom",52.7954791,-0.540240286617432
38,"Las Vegas, NV",36.1662859,-115.149225
39,,34.220389,70.3800314
40,Şanlıurfa,37.2595198,39.0408174
41,"Cleveland, OH",41.5051613,-81.6934446
42,"San Diego, CA",32.7174209,-117.1627714
43,"Ukraine, Odessa",46.4852419,30.7433894
44,"Houston, Houston",43.7632995,-91.5684764
45,,34.220389,70.3800314
46,,34.220389,70.3800314
47,"Reading, Pa",40.335345,-75.9279495
48,,34.220389,70.3800314
49,"Mont-de-Marsan, France",43.8911318,-0.500972
50,United States,39.7837304,-100.4458825
51,,34.220389,70.3800314
52,"Phoenix, AZ",33.4485866,-112.0773456
53,United States,39.7837304,-100.4458825
54,,34.220389,70.3800314
55,Spain,39.3262345,-4.8380649
56,,34.220389,70.3800314
57,United States,39.7837304,-100.4458825
58,"Guayama, Puerto Rico",17.9852036,-66.113567
59,United States,39.7837304,-100.4458825
60,,34.220389,70.3800314
61,"Greater Accra, Ghana",5.8101532,0.0995242
62,United States,39.7837304,-100.4458825
63,"Boca Raton, FL",26.3586885,-80.0830984
64,United States,39.7837304,-100.4458825
65,"Franche-Comté, France",47.14258475,6.13202223357538
66,,34.220389,70.3800314
67,,34.220389,70.3800314
